Hostname                                  Interface     Status   Description                             Optics              Serial
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/0/15     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/0/16     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/0/17     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/0/18     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/0/19     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/0      |Down     |NONE                                    |SFP+-10G-LR         |AD19205034Y
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/1      |Down     |NONE                                    |SFP+-10G-LR         |AD1920501J9
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/2      |Down     |NONE                                    |SFP+-10G-LR         |K8P2014901
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/3      |Down     |NONE                                    |SFP+-10G-LR         |J5V2046938
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/4      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/5      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/6      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/7      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/8      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/9      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/10     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/11     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/12     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/13     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/14     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/15     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/16     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/17     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/18     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-2/1/19     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/0     |Up       |DNSN-IPB_P-RT-02-xe-1/2/2_N000017824635 |SFP+-10G-LR         |JC82009247
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/1     |Up       |DNSN-IPB_P-RT-01-xe-7/3/2_N000017824742 |SFP+-10G-LR         |JC22015852
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/2     |Up       |CNTM-IPB_CORE-RT-02-10GE7/0/3           |SFP+-10G-LR         |K8V2008347
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/3     |Up       |SKB-CNTM_DS2-xe-9/0/10                  |SFP+-10G-LR         |K942004948
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/4     |Up       |CNTM-IPB_CORE-RT-01-10GE8/0/22          |SFP+-10G-LR         |K8W2011885
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/5     |Up       |CNTM-IPB_CORE-RT-02-10GE8/0/22          |SFP+-10G-LR         |K8W2011732
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/6     |Up       |CNTM-IBC-01-Te5/1/2_ALU                 |SFP+-10G-LR         |K8W2015067
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/7     |Up       |CNTM-LTE-ENB-L3SW-01-TE3/4              |SFP+-10G-SR         |AQ32FAV
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/8     |Up       |CNTM-IBC-01-Te5/1/1_ALU                 |SFP+-10G-LR         |K8W2014388
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/9     |Up       |CNTM-IBC-02-Te5/1/4_ALU                 |SFP+-10G-LR         |K8W2011495
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/10    |Up       |CNTM-IPB-RNC-L3SW-01-TE-7/0/0           |SFP+-10G-SR         |AA191730FVC
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/11    |Up       |BUAM-IPB_PPE-RT-02_xe-11/0/1_N000002956466|SFP+-10G-LR         |K8V2008153
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/12    |Up       |BUAM-IPB_PPE-RT-02_xe-11/1/2_N000003140947|SFP+-10G-LR         |JC22022378
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/13    |Up       |BUAM-IPB_PPE-RT-02_xe-1/0/1_N000002942404|SFP+-10G-LR         |K8V2007803
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/14    |Up       |DNSN-IPB-P-RT-02-xe-2/3/1_N000002942617 |SFP+-10G-LR         |K8V2008326
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/15    |Up       |DNSN-IPB-P-RT-03-xe-1/3/1_N000002940928 |SFP+-10G-LR         |JC22019277
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/16    |Up       |CNTM-IPB_CORE-RT-01-10GE8/0/33          |SFP+-10G-LR         |JC22016327
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/17    |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/18    |Up       |CNTM-IPB_CORE-RT-01-10GE8/0/4           |SFP+-10G-LR         |JC22016082
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/0/19    |Down     |CNTM-IPB-PPE-RT-02_xe-11/0/19           |SFP+-10G-SR         |APQ1JXN
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/0     |Up       |DNSN-IPB_P-RT-04-xe-7/3/2_N000017824637 |SFP+-10G-LR         |JC22016361
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/1     |Up       |DNSN-IPB_P-RT-02-xe-7/3/2_N000017824743 |SFP+-10G-LR         |JC22016179
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/2     |Up       |DNSN-IPB-P-RT-03-xe-10/3/0_N000002940927|SFP+-10G-LR         |JC22015809
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/3     |Up       |CNTM-IBC-02-Te3/1/1_ALU                 |SFP+-10G-LR         |K8W2014390
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/4     |Up       |CNTM-IPB-L3SW-01-TE3/1                  |SFP+-10G-SR         |CJ30YJ04D
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/5     |Up       |CNTM-IBC-02-Te5/1/5_ALU                 |SFP+-10G-LR         |K8V2007820
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/6     |Up       |CNTM-LTE-ENB-L3SW-02-TE7/4              |SFP+-10G-SR         |MTJ0F5W
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/7     |Up       |CNTM-IPB-RNC-L3SW-04-TE-7/0/0           |SFP+-10G-SR         |A09BZ6Y
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/8     |Up       |CNTM-IBC-02-Te5/1/1_ALU                 |SFP+-10G-LR         |K8W2011365
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/9     |Up       |CNTM-LTE-ENB-L3SW-02-TE3/2              |SFP+-10G-SR         |AQ32FB3
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/10    |Up       |CNTM-IBC-02-Te5/1/3_ALU                 |SFP+-10G-LR         |K8U2007853
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/11    |Up       |CNTM-IBC-02_Te4/0/0_HUAWEI              |SFP+-10G-LR         |K8V2008377
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/12    |Up       |BUAM-IPB_PPE-RT-01_xe-1/1/2_N000016235545|SFP+-10G-LR         |K8V2008513
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/13    |Up       |BUAM-IPB_PPE-RT-01_xe-11/1/0_N000002942403|SFP+-10G-LR         |K8W2011163
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/14    |Up       |BUAM-IPB_PPE-RT-02_xe-1/1/2_N000016235546|SFP+-10G-LR         |JC22023153
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/15    |Up       |DNSN-IPB-P-RT-04-xe-1/2/2_N000002945551 |SFP+-10G-LR         |K942004963
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/16    |Up       |DNSN-IPB-P-RT-02-xe-8/3/0_N000002944013 |SFP+-10G-LR         |K8W2011644
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/17    |Up       |DNSN-IPB-P-RT-01-xe-2/3/1_N000002945548 |SFP+-10G-LR         |K8V2008458
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/18    |Up       |DNSN-IPB_P-RT-03-xe-1/2/2_N000002942618 |SFP+-10G-LR         |K8W2011901
CNTM-IPB-PPE-RT-01_현장점검.txt               |xe-11/1/19    |Up       |BUAM-IPB_PPE-RT-02_xe-1/0/2_N000018064782|SFP+-10G-LR         |K8W2011608
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/0      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/1      |Up       |CNTM-IWIFI-L3SW-01-GE2/1                |SFP-SX              |AM150925B56
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/2      |Up       |CNTM-IWIB-L3SW-01-GE2/1                 |SFP-SX              |AM15042JF3F
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/3      |Up       |CNTM-ISIG-L3SW-01-Ge2:2                 |SFP-SX              |AM17082SGND
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/4      |Down     |NONE                                    |SFP-SX              |AM15042JF4P
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/5      |Up       |CNTM-P-LTE-S1-L3SW-01-Gi04              |SFP-SX              |AM150925BNY
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/6      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/7      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/8      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/0/9      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/0      |Up       |CNTM-ISIG-L3SW-02-Ge2:2                 |SFP-SX              |PM75T83
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/1      |Up       |CNTM-P-LTE-S1-L3SW-01-Gi03              |SFP-SX              |PGB40YS
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/2      |Up       |CNTM-P-LTE-S5-SGI-01-Gi03               |SFP-SX              |AM150925B53
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/3      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/4      |Up       |CNTM-IBC-01-Gi10/1/1_ALU                |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/5      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/6      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/7      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/8      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/1/9      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/0      |Up       |CNTM-P-LTE-S5-SGI-01-Gi04               |SFP-SX              |AC1101S01MR
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/1      |Up       |CNTM-IBC-02-Gi10/1/1_ALU                |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/2      |Up       |CNTM-IWIFI-L3SW-02-GE2/1                |SFP-SX              |PP65VJN
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/3      |Up       |SKT_Centum_TWCC_BB2-P1/48               |SFP-SX              |PP65WKS
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/4      |Up       |CNTM-P-LTE-S1-L3SW-02-Gi03              |SFP-SX              |PM75T8P
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/5      |Up       |CNTM-P-LTE-S5-SGI-02-Gi03               |SFP-SX              |PM752EQ
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/6      |Up       |CNTM-IBC-01_Gi8/0/0_HUAWEI              |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/7      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/8      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/2/9      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/0      |Up       |CNTM-IWIB-L3SW-02-GE2/1                 |SFP-SX              |AM150925BNS
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/1      |Up       |CNTM-P-LTE-S1-L3SW-02-Gi04              |SFP-SX              |AM150925BN8
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/2      |Up       |CNTM-P-LTE-S5-SGI-02-Gi04               |SFP-SX              |PM75X5D
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/3      |Up       |CNTM-P-LTE-NAT-02                       |SFP-SX              |AM15042JFDE
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/4      |Up       |CNTM-IBC-02_Gi8/0/0_HUAWEI              |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/5      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/6      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/7      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/8      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |ge-0/3/9      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/0      |Up       |DNSN-IPB_P-RT-04_xe-11/0/3_N000017824753|SFP+-10G-LR         |J5V2037416
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/1      |Up       |DNSN-IPB_P-RT-01-xe-10/0/3_N000017824746|SFP+-10G-LR         |JC52010141
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/2      |Up       |DNSN-IPB-P-RT-04-xe-10/3/1_N000002941027|SFP+-10G-LR         |K8W2012110
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/3      |Up       |SKB-CNTM_DS1-xe-8/0/5                   |SFP+-10G-LR         |K8W2011153
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/4      |Down     |NONE                                    |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/5      |Up       |CNTM-IPB_CORE-RT-01-10GE7/0/22          |SFP+-10G-LR         |K8W2011724
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/6      |Up       |CNTM-IPB_CORE-RT-02-10GE7/0/22          |SFP+-10G-LR         |K8W2011716
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/7      |Up       |CNTM-IPB_CORE-RT-01-10GE8/0/3           |SFP+-10G-LR         |K8W2012260
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/8      |Up       |CNTM-IBC-01_Te5/0/1_HUAWEI              |SFP+-10G-LR         |K8P2017565
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/9      |Up       |CNTM-IPB-L3SW-02-TE4/1                  |SFP+-10G-SR         |AA192430ATH
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/10     |Up       |CNTM-IBC-02_Te5/0/1_HUAWEI              |SFP+-10G-LR         |JC22023014
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/11     |Up       |BUAM-IPB_PPE-RT-01_xe-1/0/1_N000002943843|SFP+-10G-LR         |K8W2014877
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/12     |Up       |BUAM-IPB_PPE-RT-02-xe-1/0/0_N000002956467|SFP+-10G-LR         |K8W2014414
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/13     |Up       |BUAM-IPB_PPE-RT-01_xe-11/1/1_N000002956465|SFP+-10G-LR         |K8W2015469
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/14     |Up       |DNSN-IPB-P-RT-04-xe-10/2/2_N000002942619|SFP+-10G-LR         |K8W2012043
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/15     |Up       |DNSN-IPB-P-RT-04-xe-10/3/2_N000002944897|SFP+-10G-LR         |K8W2011882
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/16     |Up       |DNSN-IPB_P-RT-02-xe-4/0/2_N000002946407 |SFP+-10G-LR         |K8W2011333
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/17     |Up       |CNTM-IBC-02-Te7/2/2_ALU_WiFi_GLOBAL     |SFP+-10G-LR         |APE01UD
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/18     |Up       |CNTM-IPB_CORE-RT-02-10GE7/0/33          |SFP+-10G-LR         |JC22022918
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/0/19     |Down     |CNTM-IPB-PPE-RT-01_xe-1/0/19            |SFP+-10G-SR         |AA191730FXY
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/0      |Up       |DNSN-IPB_P-RT-01_xe-11/3/0_N000017824754|SFP+-10G-LR         |JC22019621
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/1      |Up       |DNSN-IPB_P-RT-03-xe-8/1/2_N000017824748 |SFP+-10G-LR         |JC22023186
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/2      |Up       |DNSN-IPB_P-RT-02-xe-9/3/1_N000002945549 |SFP+-10G-LR         |K942004920
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/3      |Up       |CNTM-IBC-01-Te6/1/4_ALU                 |SFP+-10G-LR         |K8W2011593
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/4      |Up       |CNTM-IPB-RNC-L3SW-02-TE-8/0/0           |SFP+-10G-SR         |MTB1DW6
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/5      |Up       |CNTM-IBC-01-Te3/1/2_ALU                 |SFP+-10G-LR         |K8U2008080
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/6      |Up       |CNTM-IBC-01-Te6/1/5_ALU                 |SFP+-10G-LR         |K8W2014864
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/7      |Up       |CNTM-LTE-ENB-L3SW-02-TE3/1_Global       |SFP+-10G-SR         |AMA05UQ
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/8      |Up       |CNTM-IPB-RNC-L3SW-03-TE-8/0/0           |SFP+-10G-SR         |A1GAJEZ
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/9      |Up       |CNTM-IBC-01-Te6/1/3_ALU                 |SFP+-10G-LR         |K8W2011757
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/10     |Up       |CNTM-LTE-ENB-L3SW-01-TE3/2              |SFP+-10G-SR         |CJ30YJ05Z
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/11     |Up       |CNTM-IBC-02-Te6/1/2_ALU                 |SFP+-10G-LR         |K8V2007807
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/12     |Up       |CNTM-IBC-01_Te5/0/0_HUAWEI              |SFP+-10G-LR         |APS05MN
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/13     |Up       |BUAM-IPB_PPE-RT-01_xe-1/1/0_N000003159558|SFP+-10G-LR         |K8V2008620
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/14     |Up       |BUAM-IPB_PPE-RT-02_xe-11/1/0_N000002943845|SFP+-10G-LR         |K8W2011504
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/15     |Up       |BUAM-IPB_PPE-RT-01_xe-1/1/3_N000016235547|SFP+-10G-LR         |K8W2014960
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/16     |Up       |CNTM-IPB_CORE-RT-02-10GE7/0/4           |SFP+-10G-LR         |JC52009764
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/17     |Up       |DNSN-IPB-P-RT-01-xe-2/2/2_N000002944014 |SFP+-10G-LR         |JC22022454
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/18     |Up       |DNSN-IPB_P-RT-02-xe-10/3/1_N000002944025|SFP+-10G-LR         |K8W2011139
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-1/1/19     |Up       |BUAM-IPB_PPE-RT-01_xe-1/0/3_N000018064781|SFP+-10G-LR         |HCN2007824
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/0      |Down     |NONE                                    |SFP+-10G-LR         |AD19205034F
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/1      |Down     |NONE                                    |SFP+-10G-LR         |APS17VX
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/2      |Down     |NONE                                    |SFP+-10G-LR         |AD182950022
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/3      |Down     |NONE                                    |SFP+-10G-LR         |AD1913504HF
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/4      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/5      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/6      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/7      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/8      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/9      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/10     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/11     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/12     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/13     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/14     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/15     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/16     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/17     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/18     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/0/19     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/0      |Down     |NONE                                    |SFP+-10G-LR         |IA82015946
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/1      |Down     |NONE                                    |SFP+-10G-LR         |AD18295001U
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/2      |Down     |NONE                                    |SFP+-10G-LR         |AD1920507WL
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/3      |Down     |NONE                                    |SFP+-10G-LR         |J5V2046955
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/4      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/5      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/6      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/7      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/8      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/9      |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/10     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/11     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/12     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/13     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/14     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/15     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/16     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/17     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/18     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-2/1/19     |Down     |                                        |X                   |X
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-11/0/0     |Up       |DNSN-IPB_P-RT-03-xe-7/2/1_N000017824744 |SFP+-10G-LR         |JC22022076
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-11/0/1     |Up       |DNSN-IPB_P-RT-03-xe-11/0/3_N000017824752|SFP+-10G-LR         |JC22022941
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-11/0/2     |Up       |CNTM-IPB_CORE-RT-02-10GE8/0/3           |SFP+-10G-LR         |K8W2011802
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-11/0/3     |Up       |SKB-CNTM_DS2-xe-8/0/5                   |SFP+-10G-LR         |K8W2011685
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-11/0/4     |Up       |CNTM-IPB_CORE-RT-01-10GE8/0/2           |SFP+-10G-LR         |K8W2011709
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-11/0/5     |Up       |CNTM-IPB_CORE-RT-02-10GE8/0/2           |SFP+-10G-LR         |K8W2011172
CNTM-IPB-PPE-RT-02_현장점검.txt               |xe-11/0/6     |Up       |CNTM-IBC-01-Te6/1/2_ALU                 |SFP+-10G-LR         |K8W2014644
