Hostname                                  Interface     Status   Description                             Optics              Serial
BORM-IPB-P-RT-01_a.txt                    |xe-4/0/2      |Up       |SNSU-IPB_P-RT-01-xe-9/2/0               |SFP+-10G-LR         |APS0N7S
BORM-IPB-P-RT-01_a.txt                    |xe-4/0/3      |Up       |BORM-IPB_PE-RT-04-Te0/1/0/17            |SFP+-10G-SR         |ARH0Q7Q
BORM-IPB-P-RT-01_a.txt                    |xe-4/1/0      |Up       |SNSU-IPB_P-RT-03-xe-9/3/1_B11X00765     |SFP+-10G-LR         |APR2U3J
BORM-IPB-P-RT-01_a.txt                    |xe-4/1/1      |Up       |SNSU-IPB_P-RT-02-Xe-3/3/1               |SFP+-10G-LR         |AV90HWR
BORM-IPB-P-RT-01_a.txt                    |xe-4/1/2      |Up       |BORM-IPB_PE-RT-04-Te0/6/0/20            |SFP+-10G-SR         |ARG18J4
BORM-IPB-P-RT-01_a.txt                    |xe-4/1/3      |Up       |BORM-IPB_PE-RT-04-Te0/5/0/17            |SFP+-10G-SR         |ARG1G4J
BORM-IPB-P-RT-01_a.txt                    |xe-4/2/0      |Down     |BORM-IPB-IPTV-PROBE-L2SW-10G_prb        |SFP+-10G-SR         |AQ32FGM
BORM-IPB-P-RT-01_a.txt                    |xe-4/2/1      |Up       |BORM-IPB_PE-RT-03-Te0/2/0/0             |SFP+-10G-SR         |CG22KN0GP
BORM-IPB-P-RT-01_a.txt                    |xe-4/2/2      |Up       |BORM-IPB_PE-RT-04-Te0/6/0/21            |SFP+-10G-SR         |ARG18UF
BORM-IPB-P-RT-01_a.txt                    |xe-4/2/3      |Down     |SNSU-IPB_P-RT-02-xe-8/3/2               |SFP+-10G-LR         |J7K2011931
BORM-IPB-P-RT-01_a.txt                    |xe-4/3/0      |Up       |BORM-IPB_PE-RT-03-Te0/6/0/23            |SFP+-10G-SR         |ARG18H1
BORM-IPB-P-RT-01_a.txt                    |xe-4/3/1      |Up       |BORM-IPB_PE-RT-03-Te0/6/0/1             |SFP+-10G-SR         |ARG2TVG
BORM-IPB-P-RT-01_a.txt                    |xe-4/3/2      |Up       |SNSU-IPB_P-RT-03-xe-4/2/1_B24X05617     |SFP+-10G-LR         |AV90J52
BORM-IPB-P-RT-01_a.txt                    |xe-4/3/3      |Up       |BORM-IPB_PE-RT-03-Te0/1/0/16            |SFP+-10G-SR         |AA171130DS6
BORM-IPB-P-RT-01_a.txt                    |xe-5/0/0      |Up       |BORM-IPB_PE-RT-04-Te0/5/0/0             |SFP+-10G-SR         |ARG18JE
BORM-IPB-P-RT-01_a.txt                    |xe-5/0/1      |Up       |SNSU-IPB_P-RT-03-Xe-3/0/1               |SFP+-10G-LR         |45T012405159
BORM-IPB-P-RT-01_a.txt                    |xe-5/0/2      |Up       |SNSU-IPB_P-RT-03-xe-8/0/0               |SFP+-10G-LR         |AV90HBR
BORM-IPB-P-RT-01_a.txt                    |xe-5/0/3      |Up       |BORM-IPB_PE-RT-03-Te-0/5/0/1            |SFP+-10G-SR         |ARG2KSJ
BORM-IPB-P-RT-01_a.txt                    |xe-5/1/0      |Up       |SNSU-IPB_P-RT-04-xe-8/0/0               |SFP+-10G-LR         |APS0N7P
BORM-IPB-P-RT-01_a.txt                    |xe-5/1/1      |Up       |SNSU-IPB_P-RT-01-xe-9/3/0_B11X05498     |SFP+-10G-LR         |AV90H0X
BORM-IPB-P-RT-01_a.txt                    |xe-5/1/2      |Up       |BORM-IPB_PE-RT-03-Te0/6/0/20            |SFP+-10G-SR         |ARF1X05
BORM-IPB-P-RT-01_a.txt                    |xe-5/1/3      |Up       |BORM-IPB_PE-RT-04-Te-0/5/0/1            |SFP+-10G-SR         |ARG18GN
BORM-IPB-P-RT-01_a.txt                    |xe-5/2/0      |Up       |SNSU-IPB_P-RT-04-Xe-3/0/1               |SFP+-10G-LR         |ANG0FHJ
BORM-IPB-P-RT-01_a.txt                    |xe-5/2/1      |Up       |SNSU-IPB_P-RT-02-xe-9/3/1_B11X05504     |SFP+-10G-LR         |AV907F7
BORM-IPB-P-RT-01_a.txt                    |xe-5/2/2      |Up       |BORM-IPB_PE-RT-03-Te0/6/0/21            |SFP+-10G-SR         |ARG18ZS
BORM-IPB-P-RT-01_a.txt                    |xe-5/2/3      |Up       |BORM-IPB_PE-RT-04-Te0/1/0/16            |SFP+-10G-SR         |ARG18H3
BORM-IPB-P-RT-01_a.txt                    |xe-5/3/0      |Up       |BORM-IPB_PE-RT-04-Te0/6/0/23            |SFP+-10G-SR         |ARG18T8
BORM-IPB-P-RT-01_a.txt                    |xe-5/3/1      |Up       |BORM-IPB_PE-RT-04-Te0/6/0/1             |SFP+-10G-SR         |ARG1G62
BORM-IPB-P-RT-01_a.txt                    |xe-5/3/2      |Up       |SNSU-IPB_P-RT-04-xe-4/2/0_B24X05619     |SFP+-10G-LR         |ANJ0J0X
BORM-IPB-P-RT-01_a.txt                    |xe-5/3/3      |Up       |SNSU-IPB_P-RT-04-xe-0/2/2               |SFP+-10G-LR         |AD1825500YR
BORM-IPB-P-RT-01_a.txt                    |xe-7/0/0      |Down     |BORM-IPB_PE-RT-01-TE5/1/1               |XFP-10G-SR          |AD1144M00LP
BORM-IPB-P-RT-01_a.txt                    |xe-7/1/0      |Up       |BORM-IPB_PE-RT-03-Te0/1/0/4             |XFP-10G-SR          |AD1144M00G5
BORM-IPB-P-RT-01_a.txt                    |xe-7/2/0      |Up       |SNSU-IPB_P-RT-03-xe-9/0/1_B24X05629     |XFP-10G-LR          |UW40YK5
BORM-IPB-P-RT-01_a.txt                    |xe-7/3/0      |Down     |NONE                                    |XFP-10G-LR          |UKG03NH
BORM-IPB-P-RT-01_a.txt                    |xe-8/0/0      |Down     |neno                                    |SFP+-10G-LR         |AD1913503Y1
